[2015-07-27 20:31:44.805]  -------(1)--------
[2015-07-27 20:31:45.804]  -------(2)--------
[2015-07-27 20:31:46.804]  -------(3)--------
[2015-07-27 20:31:47.804]  -------(4)--------
[2015-07-27 20:31:48.804]  -------(5)--------
[2015-07-27 20:31:49.804]  -------(6)--------
[2015-07-27 20:31:50.804]  -------(7)--------
[2015-07-27 20:31:51.804]  -------(8)--------
[2015-07-27 20:31:52.804]  -------(9)--------
[2015-07-27 20:31:53.805]  -------(10)--------
[2015-07-27 20:31:54.806]  -------(11)--------
790A8248 04 CB 03
790A826B 04 CA 02
790A826B 04 C9 02
790A826B 04 CA 02
790A8267 04 D3 09
790A8267 04 C7 09
790A8267 04 C5 09
790A85CE 04 A7 09
790A85CE 04 CA 09
790A85CE 04 C3 09
790A85A0 04 CF 00
790A85A0 04 D1 00
790A85A0 04 C5 00
790A8256 04 CA 08
790A8256 04 CB 08
790A8256 04 C9 08
790A85B7 04 CB 09
790A85B7 04 CC 09
790A85B7 04 C9 09
790A856F 04 C9 01
790A856F 04 D0 01
790A856F 04 C1 01
790A85FC 04 C8 00
790A85FC 04 C9 00
790A85FC 04 C9 00
790A855D 04 C8 06
790A855D 04 C9 06
790A855D 04 BE 06
790A8586 04 CA 02
790A8586 04 CC 02
790A8586 04 BD 02
790A8273 04 C5 00
790A8273 04 CD 00
790A8273 04 CF 00
790A85A3 04 D3 09
790A85A3 04 CC 09
790A85A3 04 BD 09
790A826F 04 CB 01
790A826F 04 C8 01
790A826F 04 C5 01
790A826A 04 C7 08
790A826A 04 CB 08
790A826A 04 BB 08
790A826D 04 CA 0B
790A826D 04 C8 0B
790A826D 04 BD 0B
790A8266 04 CA 0B
790A8266 04 BF 0B
790A8266 04 CB 0B
790A85DF 04 CB 0B
790A85DF 04 C6 0B
790A85DF 04 C8 0B
790A85D6 04 CB 0A
790A85D6 04 CD 0A
790A85D6 04 CC 0A
790A8248 04 C3 04
790A8248 04 CB 04
790A8248 04 CD 04
790A85D1 04 D0 0A
790A85D1 04 C3 0A
790A85D1 04 C7 0A
790A826B 04 CA 03
790A826B 04 C9 03
790A826B 04 CD 03
790A8267 04 CA 0A
790A8267 04 D2 0A
790A8267 04 CB 0A
790A85CE 04 BB 0A
790A85CE 04 C8 0A
790A85A0 04 D1 01
790A85A0 04 D1 01
790A85A0 04 CA 01
790A8256 04 C6 09
790A8256 04 C6 09
790A8256 04 BE 09
790A85B7 04 BC 0A
790A85B7 04 D0 0A
790A85B7 04 CD 0A
790A856F 04 C6 02
790A856F 04 C5 02
790A856F 04 CD 02
790A85FC 04 C6 01
790A85FC 04 CB 01
790A85FC 04 C8 01
790A8586 04 CB 03
790A855D 04 C6 07
790A8586 04 C2 03
790A8586 04 C8 03
790A855D 04 CD 07
790A855D 04 CD 07
790A8273 04 C7 01
790A8273 04 CC 01
790A8273 04 CF 01
790A85A3 04 CA 0A
790A85A3 04 CB 0A
790A85A3 04 CC 0A
790A826F 04 B7 02
